fecha,visualizaciones,alcance,interacciones,visitas_perfil,seguidores_ganados,semana,dia_semana
2026-02-24,15,2,0,4,0,9,Tuesday
2026-02-25,32,5,0,10,1,9,Wednesday
2026-02-26,18,5,0,9,0,9,Thursday
2026-02-27,4803,3471,355,47,2,9,Friday
2026-02-28,15916,12112,2269,59,5,9,Saturday
2026-03-01,34013,24985,6182,131,25,9,Sunday
2026-03-02,69977,54477,13948,153,43,10,Monday
2026-03-03,155202,109229,30158,570,99,10,Tuesday
2026-03-04,91844,64003,15349,503,89,10,Wednesday
2026-03-05,94599,60906,14663,686,140,10,Thursday
2026-03-06,131058,87619,17155,817,183,10,Friday
2026-03-07,85139,56537,12259,522,99,10,Saturday
2026-03-08,44651,29837,5637,407,98,10,Sunday
2026-03-09,50405,34028,7396,377,85,11,Monday
2026-03-10,56194,37914,7764,306,55,11,Tuesday
2026-03-11,67025,44747,9252,365,64,11,Wednesday
2026-03-12,82968,54126,11866,416,73,11,Thursday
2026-03-13,194968,99644,21152,3835,211,11,Friday
2026-03-14,358834,182442,46807,4596,373,11,Saturday
2026-03-15,1050767,556191,129167,19224,1081,11,Sunday
2026-03-16,665780,344488,84235,8940,517,12,Monday
2026-03-17,663993,363734,81705,6279,0,12,Tuesday
2026-03-18,352930,184048,40833,4810,0,12,Wednesday
2026-03-19,311067,169530,41604,3788,0,12,Thursday
2026-03-20,670611,358261,82393,4388,0,12,Friday
2026-03-21,342761,174780,39184,2466,0,12,Saturday
2026-03-22,387213,198139,41902,3744,0,12,Sunday
2026-03-23,463594,238683,51874,5311,0,13,Monday
