rank,title,published_date,duration_sec,views,likes,comments,shares,saves,new_followers,avg_view_sec,completion_pct,engagement_rate_pct,like_rate_pct,comment_rate_pct,share_rate_pct,save_rate_pct,virality_score,days_since_post,views_per_day
1,"te amo mi chico informático",2026-02-28,6,777000,73000,369,11000,9021,335,5.5,26.5,12.14,9.40,0.05,1.42,1.16,7.80,24,32375
2,"Te las mereces 💐",2026-03-21,12,426000,91000,223,17000,2149,145,,24.0,26.18,21.36,0.05,3.99,0.50,7.02,3,142000
3,"xd #informatica #humor",2026-02-27,10,379000,61000,246,12000,4084,562,7.24,20.8,20.39,16.09,0.06,3.17,1.08,6.45,25,15160
4,"me ayudan? #geforcertx",2026-03-16,6,299000,29000,371,3331,1873,130,7.81,51.9,11.60,9.70,0.12,1.11,0.63,5.42,8,37375
5,"20 años con 20 años de experiencia",2026-03-02,8,142000,18000,2067,1397,,232,6.75,35.4,15.12,12.68,1.46,0.98,,2.97,22,6455
6,"Cosorro #poo",2026-03-22,5,195000,41000,125,5527,3106,241,6.44,50.2,25.52,21.03,0.06,2.83,1.59,8.49,2,97500
7,"una <div>a mi terminal",2026-03-03,6,104000,16000,86,1218,1434,278,5.31,32.1,17.96,15.38,0.08,1.17,1.38,3.40,21,4952
8,"lo q mas duele en una ruptura",2026-03-17,7,100000,15000,106,1627,2311,265,8.11,40.0,19.04,15.00,0.11,1.63,2.31,5.03,7,14286
9,"la espaldaaaa",2026-03-05,6,95000,19000,1540,1405,,142,5.02,34.6,22.05,20.00,1.62,1.48,,4.07,19,5000
10,"#datascience #cienciadedatos",2026-02-26,,75000,9855,258,988,,206,7.39,49.7,14.80,13.14,0.34,1.32,,4.87,26,2885
